index,City,Date,Card Type,Exp Type,Gender,Amount,Month
0,"Delhi, India",2014-10-29,Gold,Bills,F,82475,October
1,"Greater Mumbai, India",2014-08-22,Platinum,Bills,F,32555,August
2,"Bengaluru, India",2014-08-27,Silver,Bills,F,101738,August
3,"Greater Mumbai, India",2014-04-12,Signature,Bills,F,123424,April
4,"Bengaluru, India",2015-05-05,Gold,Bills,F,171574,May
5,"Delhi, India",2014-09-08,Silver,Bills,F,100036,September
6,"Delhi, India",2015-02-24,Gold,Bills,F,143250,February
7,"Greater Mumbai, India",2014-06-26,Platinum,Bills,F,150980,June
8,"Delhi, India",2014-03-28,Silver,Bills,F,192247,March
9,"Delhi, India",2014-09-01,Platinum,Bills,F,67932,September
10,"Delhi, India",2014-06-22,Platinum,Bills,F,280061,June
11,"Greater Mumbai, India",2013-12-07,Signature,Bills,F,278036,December
12,"Greater Mumbai, India",2014-08-07,Gold,Bills,F,19226,August
13,"Delhi, India",2014-04-27,Signature,Bills,F,254359,April
14,"Greater Mumbai, India",2014-08-15,Signature,Bills,F,302834,August
15,"Greater Mumbai, India",2014-11-28,Platinum,Bills,F,647116,November
16,"Greater Mumbai, India",2014-06-14,Signature,Bills,F,421878,June
17,"Greater Mumbai, India",2015-03-30,Gold,Bills,F,986379,March
18,"Greater Mumbai, India",2014-03-15,Platinum,Bills,F,213047,March
19,"Greater Mumbai, India",2013-11-09,Platinum,Bills,F,735566,November
20,"Delhi, India",2014-04-04,Signature,Bills,F,366102,April
21,"Delhi, India",2014-07-01,Signature,Bills,F,809623,July
22,"Greater Mumbai, India",2015-03-27,Silver,Bills,F,467014,March
23,"Ahmedabad, India",2013-10-11,Gold,Bills,F,668568,October
24,"Ahmedabad, India",2014-03-26,Gold,Bills,F,339112,March
25,"Delhi, India",2014-09-27,Silver,Bills,F,622170,September
26,"Bengaluru, India",2014-03-23,Platinum,Bills,F,434427,March
27,"Greater Mumbai, India",2014-05-17,Signature,Bills,F,655846,May
28,"Bengaluru, India",2015-01-18,Platinum,Bills,F,987935,January
29,"Delhi, India",2015-04-18,Gold,Bills,F,702774,April
30,"Bengaluru, India",2014-07-31,Signature,Bills,F,225392,July
31,"Greater Mumbai, India",2015-02-11,Gold,Bills,F,296573,February
32,"Ahmedabad, India",2013-11-24,Platinum,Bills,F,227702,November
33,"Ahmedabad, India",2014-11-08,Gold,Bills,F,864090,November
34,"Ahmedabad, India",2014-09-06,Signature,Bills,F,440605,September
35,"Ahmedabad, India",2015-03-24,Platinum,Bills,F,954660,March
36,"Ahmedabad, India",2014-01-01,Signature,Bills,F,255577,January
37,"Ahmedabad, India",2014-07-12,Silver,Bills,F,337352,July
38,"Ahmedabad, India",2014-02-04,Platinum,Bills,F,660244,February
39,"Delhi, India",2015-02-03,Silver,Bills,F,401351,February
40,"Delhi, India",2013-10-27,Platinum,Bills,F,678842,October
41,"Delhi, India",2014-05-11,Gold,Bills,F,478861,May
42,"Bengaluru, India",2014-11-10,Platinum,Bills,F,804938,November
43,"Delhi, India",2015-01-30,Silver,Bills,F,888341,January
44,"Bengaluru, India",2014-04-19,Platinum,Bills,F,262414,April
45,"Bengaluru, India",2014-09-08,Gold,Bills,F,249353,September
46,"Ahmedabad, India",2013-12-10,Gold,Bills,F,892016,December
47,"Ahmedabad, India",2013-11-04,Platinum,Bills,F,313626,November
48,"Greater Mumbai, India",2014-06-01,Gold,Bills,F,314366,June
49,"Greater Mumbai, India",2014-04-27,Signature,Bills,F,551340,April
50,"Delhi, India",2013-10-04,Signature,Bills,F,735037,October
51,"Greater Mumbai, India",2014-12-31,Platinum,Bills,F,574023,December
52,"Ahmedabad, India",2013-12-21,Signature,Bills,F,402300,December
53,"Delhi, India",2013-12-07,Signature,Bills,F,733125,December
54,"Greater Mumbai, India",2014-02-07,Signature,Bills,F,545977,February
55,"Bengaluru, India",2015-05-13,Silver,Bills,F,371572,May
56,"Ahmedabad, India",2015-01-28,Signature,Bills,F,326283,January
57,"Delhi, India",2014-12-09,Platinum,Bills,F,279051,December
58,"Delhi, India",2013-10-08,Platinum,Bills,F,900101,October
59,"Ahmedabad, India",2014-04-24,Silver,Bills,F,545286,April
60,"Delhi, India",2015-01-13,Platinum,Bills,F,722587,January
61,"Bengaluru, India",2014-03-14,Platinum,Bills,F,411062,March
62,"Delhi, India",2014-02-27,Platinum,Bills,F,660910,February
63,"Greater Mumbai, India",2013-10-29,Signature,Bills,F,557370,October
64,"Greater Mumbai, India",2014-06-22,Platinum,Bills,F,549794,June
65,"Delhi, India",2014-01-23,Platinum,Bills,F,340133,January
66,"Bengaluru, India",2013-11-10,Gold,Bills,F,265417,November
67,"Greater Mumbai, India",2013-12-13,Platinum,Bills,F,358185,December
68,"Greater Mumbai, India",2014-03-22,Gold,Bills,F,991685,March
69,"Greater Mumbai, India",2015-01-13,Gold,Bills,F,533762,January
70,"Greater Mumbai, India",2014-05-08,Gold,Bills,F,829742,May
71,"Delhi, India",2014-02-18,Silver,Bills,F,441527,February
72,"Delhi, India",2013-10-04,Signature,Bills,F,550782,October
73,"Greater Mumbai, India",2014-06-14,Platinum,Bills,F,835872,June
74,"Ahmedabad, India",2014-08-24,Silver,Bills,F,540497,August
75,"Greater Mumbai, India",2015-04-02,Platinum,Bills,F,525977,April
76,"Greater Mumbai, India",2014-06-27,Gold,Bills,F,789393,June
77,"Greater Mumbai, India",2015-02-06,Platinum,Bills,F,689478,February
78,"Bengaluru, India",2014-03-29,Silver,Bills,F,499079,March
79,"Ahmedabad, India",2014-04-22,Platinum,Bills,F,665107,April
80,"Greater Mumbai, India",2014-10-14,Platinum,Bills,F,998077,October
81,"Ahmedabad, India",2014-02-02,Silver,Bills,F,934205,February
82,"Bengaluru, India",2015-04-01,Platinum,Bills,F,823426,April
83,"Ahmedabad, India",2015-01-13,Signature,Bills,F,282910,January
